ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp ff
0 100
0 100
0 100
ITEM: ATOMS id x y z 
1 19.3578 89.0888 10.047 
2 19.0883 88.7421 10.3873 
3 18.8188 88.3954 10.7276 
4 18.5493 88.0487 11.0679 
5 18.2798 87.702 11.4082 
6 18.0103 87.3553 11.7485 
7 17.7408 87.0086 12.0889 
8 17.4713 86.662 12.4292 
9 17.2018 86.3153 12.7695 
10 16.9323 85.9686 13.1098 
11 77.5759 75.5613 66.1963 
12 78.1208 75.6015 66.2966 
13 78.6658 75.6418 66.3968 
14 79.2107 75.682 66.4971 
15 79.7557 75.7222 66.5974 
16 80.3006 75.7624 66.6976 
17 80.8456 75.8027 66.7979 
18 81.3905 75.8429 66.8981 
19 81.9355 75.8831 66.9984 
20 82.4804 75.9233 67.0986 
21 91.3904 93.8419 48.5843 
22 91.4173 94.2823 48.9218 
23 91.4443 94.7228 49.2594 
24 91.4712 95.1632 49.5969 
25 91.4982 95.6036 49.9345 
26 91.5251 96.0441 50.272 
27 91.5521 96.4845 50.6096 
28 91.579 96.9249 50.9471 
29 91.606 97.3653 51.2847 
30 91.6329 97.8058 51.6222 
31 41.8946 59.7615 70.0367 
32 41.4946 59.8998 69.6769 
33 41.0946 60.038 69.317 
34 40.6945 60.1763 68.9572 
35 40.2945 60.3146 68.5974 
36 39.8944 60.4528 68.2375 
37 39.4944 60.5911 67.8777 
38 39.0943 60.7294 67.5178 
39 38.6943 60.8676 67.158 
40 38.2943 61.0059 66.7981 
41 0.910515 20.5247 58.4851 
42 0.678804 20.8005 58.0621 
43 0.447094 21.0762 57.6391 
44 0.215383 21.3519 57.2161 
45 99.9837 21.6276 56.7931 
46 99.752 21.9033 56.3701 
47 99.5203 22.1791 55.9471 
48 99.2885 22.4548 55.5241 
49 99.0568 22.7305 55.1011 
50 98.8251 23.0062 54.6781 
51 37.4119 25.3025 69.9842 
52 37.7242 25.3034 70.4436 
53 38.0365 25.3042 70.9031 
54 38.3488 25.3051 71.3626 
55 38.6611 25.3059 71.822 
56 38.9734 25.3068 72.2815 
57 39.2857 25.3077 72.741 
58 39.598 25.3085 73.2004 
59 39.9103 25.3094 73.6599 
60 40.2226 25.3102 74.1194 
61 66.6341 61.2125 41.9586 
62 66.4941 61.6984 41.7285 
63 66.354 62.1843 41.4984 
64 66.214 62.6701 41.2683 
65 66.074 63.156 41.0382 
66 65.9339 63.6419 40.8081 
67 65.7939 64.1278 40.578 
68 65.6538 64.6137 40.3479 
69 65.5138 65.0995 40.1178 
70 65.3737 65.5854 39.8876 
71 89.1457 15.5219 80.1439 
72 89.1228 16.0769 80.1519 
73 89.0999 16.6319 80.1599 
74 89.0769 17.1869 80.1679 
75 89.054 17.742 80.1759 
76 89.0311 18.297 80.1838 
77 89.0082 18.852 80.1918 
78 88.9853 19.407 80.1998 
79 88.9624 19.9621 80.2078 
80 88.9395 20.5171 80.2158 
81 68.3817 83.281 24.0863 
82 68.7354 83.6718 24.2619 
83 69.0891 84.0625 24.4375 
84 69.4428 84.4533 24.6131 
85 69.7965 84.844 24.7887 
86 70.1503 85.2348 24.9643 
87 70.504 85.6256 25.1399 
88 70.8577 86.0163 25.3155 
89 71.2114 86.4071 25.491 
90 71.5651 86.7978 25.6666 
91 29.9806 68.6447 36.2776 
92 30.3217 68.2774 36.517 
93 30.6628 67.91 36.7565 
94 31.004 67.5427 36.996 
95 31.3451 67.1754 37.2354 
96 31.6862 66.8081 37.4749 
97 32.0274 66.4407 37.7143 
98 32.3685 66.0734 37.9538 
99 32.7096 65.7061 38.1932 
100 33.0508 65.3388 38.4327 
