#--------------------------------------------------------------------------------------------
# Evaluate Intensity for q vectors ranging  1.0 100.0  with interval 1.0
# rmin rmax dr:  1.0 9999.0 1.0
# using functions:
# F1
# GLN with sigma  1.0
#--------------------------------------------------------------------------------------------
#    q           I(q)
#--------------------------------------------------------------------------------------------
1.0 1.30789644931
2.0 0.00510868469829
3.0 0.000199330829443
4.0 1.99555205053e-05
5.0 3.34797516018e-06
6.0 7.78631309526e-07
7.0 2.26859675772e-07
8.0 7.79509794328e-08
9.0 3.03809458391e-08
10.0 1.30779987043e-08
11.0 5.35985109533e-09
12.0 3.04152382421e-09
13.0 1.60322449367e-09
14.0 8.86169596912e-10
15.0 5.10282926523e-10
16.0 3.04495747384e-10
17.0 1.87477738945e-10
18.0 1.1867548772e-10
19.0 7.70037943861e-11
20.0 5.10859038594e-11
21.0 3.45769499774e-11
22.0 1.26189246845e-11
23.0 1.67000718308e-11
24.0 1.18809478226e-11
25.0 8.57079541878e-12
26.0 6.26259360532e-12
27.0 4.63053207902e-12
28.0 3.46159900196e-12
29.0 2.61430962229e-12
30.0 1.99329218631e-12
31.0 1.53337171928e-12
32.0 1.18943625256e-12
33.0 9.36731376034e-13
34.0 7.32334775993e-13
35.0 5.80759921265e-13
36.0 4.63576043914e-13
37.0 3.72329285719e-13
38.0 3.00796110179e-13
39.0 2.44356632325e-13
40.0 1.99554284042e-13
41.0 1.63783450452e-13
42.0 1.35066193715e-13
43.0 1.11890532043e-13
44.0 9.86933407854e-14
45.0 7.77751525913e-14
46.0 6.52346486902e-14
47.0 5.49235927555e-14
48.0 4.64099479246e-14
49.0 3.93525010626e-14
50.0 3.34796527338e-14
51.0 2.85745611848e-14
52.0 2.44632542476e-14
53.0 2.10055482291e-14
54.0 1.80880145456e-14
55.0 1.56081453808e-14
56.0 1.35218701259e-14
57.0 1.17365953297e-14
58.0 1.02121462781e-14
59.0 8.90686525415e-15
60.0 7.78629712104e-15
61.0 6.82185202377e-15
62.0 5.98973292973e-15
63.0 5.27007128574e-15
64.0 4.64623510773e-15
65.0 4.10425296477e-15
66.0 3.73814286822e-15
67.0 3.2206427375e-15
68.0 2.86068258028e-15
69.0 2.54536767574e-15
70.0 2.26859333884e-15
71.0 2.02522921052e-15
72.0 1.810843844e-15
73.0 1.62165360242e-15
74.0 1.45441121295e-15
75.0 1.30632387617e-15
76.0 1.17498475929e-15
77.0 1.05822155172e-15
78.0 9.5451805991e-16
79.0 8.62033693309e-16
80.0 7.79508892814e-16
81.0 7.05766142032e-16
82.0 6.39779252138e-16
83.0 5.80652408433e-16
84.0 5.27602302468e-16
85.0 4.79942824428e-16
86.0 4.37072377568e-16
87.0 3.98462035693e-16
88.0 3.63770848002e-16
89.0 3.32216284654e-16
90.0 3.03809181417e-16
91.0 2.78108989953e-16
92.0 2.54822839709e-16
93.0 2.33710046255e-16
94.0 2.14544873093e-16
95.0 1.97129730116e-16
96.0 1.81288854681e-16
97.0 1.6686570796e-16
98.0 1.53720703694e-16
99.0 1.41730671702e-16
